FIPS_Code,Stabr,Area_Name,Year,MEDHHINC,POVALL
1001,AL,Autauga County,2023,68857.0,7004.0
1003,AL,Baldwin County,2023,74248.0,24942.0
1005,AL,Barbour County,2023,45298.0,5585.0
1007,AL,Bibb County,2023,56025.0,3870.0
1009,AL,Blount County,2023,64962.0,7590.0
1011,AL,Bullock County,2023,36204.0,2779.0
1013,AL,Butler County,2023,44729.0,4263.0
1015,AL,Calhoun County,2023,51841.0,22174.0
1017,AL,Chambers County,2023,50390.0,5661.0
1019,AL,Cherokee County,2023,56400.0,3949.0
1021,AL,Chilton County,2023,59165.0,7026.0
1023,AL,Choctaw County,2023,47432.0,3017.0
1025,AL,Clarke County,2023,50868.0,4174.0
1027,AL,Clay County,2023,52077.0,2337.0
1029,AL,Cleburne County,2023,59526.0,2432.0
1031,AL,Coffee County,2023,64737.0,9055.0
1033,AL,Colbert County,2023,57770.0,8912.0
1035,AL,Conecuh County,2023,46702.0,2920.0
1037,AL,Coosa County,2023,59736.0,1809.0
1039,AL,Covington County,2023,50119.0,6204.0
1041,AL,Crenshaw County,2023,49128.0,2520.0
1043,AL,Cullman County,2023,61231.0,14081.0
1045,AL,Dale County,2023,54697.0,8124.0
1047,AL,Dallas County,2023,39013.0,11197.0
1049,AL,DeKalb County,2023,50614.0,15494.0
1051,AL,Elmore County,2023,73125.0,10562.0
1053,AL,Escambia County,2023,50333.0,7331.0
1055,AL,Etowah County,2023,52504.0,19921.0
1057,AL,Fayette County,2023,49235.0,2542.0
1059,AL,Franklin County,2023,49682.0,7035.0
1061,AL,Geneva County,2023,50006.0,5109.0
1063,AL,Greene County,2023,34619.0,2255.0
1065,AL,Hale County,2023,42380.0,3383.0
1067,AL,Henry County,2023,55598.0,2904.0
1069,AL,Houston County,2023,59412.0,17707.0
1071,AL,Jackson County,2023,51479.0,8437.0
1073,AL,Jefferson County,2023,64726.0,103120.0
1075,AL,Lamar County,2023,50929.0,2217.0
1077,AL,Lauderdale County,2023,63895.0,12563.0
1079,AL,Lawrence County,2023,61064.0,4710.0
1081,AL,Lee County,2023,62301.0,31839.0
1083,AL,Limestone County,2023,81811.0,9604.0
1085,AL,Lowndes County,2023,42011.0,2799.0
1087,AL,Macon County,2023,40710.0,4712.0
1089,AL,Madison County,2023,86172.0,41983.0
1091,AL,Marengo County,2023,47228.0,4335.0
1093,AL,Marion County,2023,48829.0,5415.0
1095,AL,Marshall County,2023,59882.0,16432.0
1097,AL,Mobile County,2023,55538.0,65684.0
1099,AL,Monroe County,2023,49314.0,3627.0
1101,AL,Montgomery County,2023,60063.0,39395.0
1103,AL,Morgan County,2023,70387.0,14759.0
1105,AL,Perry County,2023,34176.0,2501.0
1107,AL,Pickens County,2023,47372.0,3587.0
1109,AL,Pike County,2023,50675.0,7364.0
1111,AL,Randolph County,2023,57148.0,3508.0
1113,AL,Russell County,2023,52312.0,10957.0
1115,AL,St. Clair County,2023,78349.0,10089.0
1117,AL,Shelby County,2023,90280.0,19207.0
1119,AL,Sumter County,2023,37021.0,3607.0
1121,AL,Talladega County,2023,59491.0,13329.0
1123,AL,Tallapoosa County,2023,60583.0,6041.0
1125,AL,Tuscaloosa County,2023,61117.0,41429.0
1127,AL,Walker County,2023,57950.0,11099.0
1129,AL,Washington County,2023,57311.0,2778.0
1131,AL,Wilcox County,2023,34426.0,3194.0
1133,AL,Winston County,2023,52280.0,3855.0
2013,AK,Aleutians East Borough,2023,83000.0,624.0
2016,AK,Aleutians West Census Area,2023,104159.0,492.0
2020,AK,Anchorage Borough,2023,93881.0,24807.0
2050,AK,Bethel Census Area,2023,62140.0,5242.0
2060,AK,Bristol Bay Borough,2023,99790.0,98.0
2063,AK,Chugach Census Area,2023,95180.0,570.0
2066,AK,Copper River Census Area,2023,69092.0,380.0
2068,AK,Denali Borough,2023,86118.0,123.0
2070,AK,Dillingham Census Area,2023,62598.0,1073.0
2090,AK,Fairbanks North Star Borough,2023,86780.0,7015.0
2100,AK,Haines Borough,2023,78649.0,207.0
2105,AK,Hoonah-Angoon Census Area,2023,64720.0,390.0
2110,AK,Juneau Borough,2023,99748.0,2815.0
2122,AK,Kenai Peninsula Borough,2023,74185.0,6885.0
2130,AK,Ketchikan Gateway Borough,2023,87760.0,1269.0
2150,AK,Kodiak Island Borough,2023,86250.0,1035.0
2158,AK,Kusilvak Census Area,2023,42029.0,2455.0
2164,AK,Lake and Peninsula Borough,2023,62547.0,271.0
2170,AK,Matanuska-Susitna Borough,2023,94376.0,10906.0
2180,AK,Nome Census Area,2023,75296.0,1981.0
2185,AK,North Slope Borough,2023,103556.0,1261.0
2188,AK,Northwest Arctic Borough,2023,78619.0,1390.0
2195,AK,Petersburg Borough,2023,68449.0,276.0
2198,AK,Prince of Wales-Hyder Census Area,2023,57304.0,892.0
2220,AK,Sitka Borough,2023,89264.0,755.0
2230,AK,Skagway Municipality,2023,79412.0,64.0
2240,AK,Southeast Fairbanks Census Area,2023,79014.0,857.0
2275,AK,Wrangell City and Borough,2023,65011.0,239.0
2282,AK,Yakutat Borough,2023,77108.0,105.0
2290,AK,Yukon-Koyukuk Census Area,2023,49498.0,1117.0
4001,AZ,Apache County,2023,43121.0,18929.0
4003,AZ,Cochise County,2023,53011.0,19759.0
4005,AZ,Coconino County,2023,71528.0,23888.0
4007,AZ,Gila County,2023,55804.0,9431.0
4009,AZ,Graham County,2023,66469.0,6397.0
4011,AZ,Greenlee County,2023,71273.0,900.0
4012,AZ,La Paz County,2023,48801.0,3097.0
4013,AZ,Maricopa County,2023,86973.0,498844.0
4015,AZ,Mohave County,2023,56302.0,36816.0
4017,AZ,Navajo County,2023,51011.0,26533.0
4019,AZ,Pima County,2023,69553.0,144676.0
4021,AZ,Pinal County,2023,77290.0,54702.0
4023,AZ,Santa Cruz County,2023,52400.0,9831.0
4025,AZ,Yavapai County,2023,67317.0,31465.0
4027,AZ,Yuma County,2023,61225.0,32657.0
5001,AR,Arkansas County,2023,50198.0,2697.0
5003,AR,Ashley County,2023,49560.0,3338.0
5005,AR,Baxter County,2023,48804.0,6746.0
5007,AR,Benton County,2023,92632.0,23885.0
5009,AR,Boone County,2023,56154.0,5660.0
5011,AR,Bradley County,2023,44525.0,2314.0
5013,AR,Calhoun County,2023,57689.0,639.0
5015,AR,Carroll County,2023,53986.0,4232.0
5017,AR,Chicot County,2023,40381.0,2621.0
5019,AR,Clark County,2023,53561.0,3512.0
5021,AR,Clay County,2023,47663.0,2454.0
5023,AR,Cleburne County,2023,56692.0,3387.0
5025,AR,Cleveland County,2023,54458.0,1147.0
5027,AR,Columbia County,2023,44175.0,4704.0
5029,AR,Conway County,2023,53863.0,3566.0
5031,AR,Craighead County,2023,60204.0,17811.0
5033,AR,Crawford County,2023,63905.0,8147.0
5035,AR,Crittenden County,2023,52153.0,9578.0
5037,AR,Cross County,2023,47669.0,3091.0
5039,AR,Dallas County,2023,46701.0,1162.0
5041,AR,Desha County,2023,43469.0,2598.0
5043,AR,Drew County,2023,48746.0,3365.0
5045,AR,Faulkner County,2023,68543.0,16042.0
5047,AR,Franklin County,2023,54077.0,3260.0
5049,AR,Fulton County,2023,46346.0,2136.0
5051,AR,Garland County,2023,53849.0,18604.0
5053,AR,Grant County,2023,64306.0,2018.0
5055,AR,Greene County,2023,55444.0,7390.0
5057,AR,Hempstead County,2023,50576.0,3171.0
5059,AR,Hot Spring County,2023,53767.0,5155.0
5061,AR,Howard County,2023,47308.0,2190.0
5063,AR,Independence County,2023,59695.0,5006.0
5065,AR,Izard County,2023,47320.0,2637.0
5067,AR,Jackson County,2023,45762.0,3513.0
5069,AR,Jefferson County,2023,49581.0,14081.0
5071,AR,Johnson County,2023,50387.0,4377.0
5073,AR,Lafayette County,2023,43824.0,1372.0
5075,AR,Lawrence County,2023,49015.0,2882.0
5077,AR,Lee County,2023,36735.0,2507.0
5079,AR,Lincoln County,2023,53381.0,2327.0
5081,AR,Little River County,2023,48837.0,2060.0
5083,AR,Logan County,2023,51290.0,3504.0
5085,AR,Lonoke County,2023,74687.0,7223.0
5087,AR,Madison County,2023,52262.0,2601.0
5089,AR,Marion County,2023,49975.0,3009.0
5091,AR,Miller County,2023,50421.0,8806.0
5093,AR,Mississippi County,2023,49484.0,9378.0
5095,AR,Monroe County,2023,40631.0,1686.0
5097,AR,Montgomery County,2023,48991.0,1600.0
5099,AR,Nevada County,2023,45562.0,1844.0
5101,AR,Newton County,2023,46307.0,1313.0
5103,AR,Ouachita County,2023,49690.0,4018.0
5105,AR,Perry County,2023,57996.0,1421.0
5107,AR,Phillips County,2023,37338.0,5057.0
5109,AR,Pike County,2023,53108.0,1814.0
5111,AR,Poinsett County,2023,51635.0,4214.0
5113,AR,Polk County,2023,47766.0,3619.0
5115,AR,Pope County,2023,59016.0,8387.0
5117,AR,Prairie County,2023,54962.0,1216.0
5119,AR,Pulaski County,2023,61344.0,61392.0
5121,AR,Randolph County,2023,51480.0,3433.0
5123,AR,St. Francis County,2023,41708.0,6414.0
5125,AR,Saline County,2023,77844.0,11900.0
5127,AR,Scott County,2023,46026.0,1882.0
5129,AR,Searcy County,2023,40688.0,1560.0
5131,AR,Sebastian County,2023,58112.0,16217.0
5133,AR,Sevier County,2023,52845.0,2888.0
5135,AR,Sharp County,2023,45258.0,3495.0
5137,AR,Stone County,2023,43767.0,2220.0
5139,AR,Union County,2023,49664.0,6969.0
5141,AR,Van Buren County,2023,50332.0,2638.0
5143,AR,Washington County,2023,66158.0,34017.0
