FIPS_Code,State,Area_Name,Year,Civilian_labor_force,Employed,Unemployed,Unemployment_rate,Median_Household_Income,Med_HH_Income_Percent_of_State_Total
1001,AL,"Autauga County, AL",2023,27000.0,26409.0,591.0,2.2,70148.0,117.5
1003,AL,"Baldwin County, AL",2023,104409.0,102029.0,2380.0,2.3,71704.0,120.1
1005,AL,"Barbour County, AL",2023,7944.0,7592.0,352.0,4.4,41151.0,68.9
1007,AL,"Bibb County, AL",2023,8772.0,8556.0,216.0,2.5,54309.0,91.0
1009,AL,"Blount County, AL",2023,25836.0,25282.0,554.0,2.1,60553.0,101.4
1011,AL,"Bullock County, AL",2023,4500.0,4393.0,107.0,2.4,35798.0,60.0
1013,AL,"Butler County, AL",2023,9009.0,8746.0,263.0,2.9,41852.0,70.1
1015,AL,"Calhoun County, AL",2023,45540.0,44256.0,1284.0,2.8,52772.0,88.4
1017,AL,"Chambers County, AL",2023,16272.0,15884.0,388.0,2.4,45563.0,76.3
1019,AL,"Cherokee County, AL",2023,11854.0,11570.0,284.0,2.4,52613.0,88.1
1021,AL,"Chilton County, AL",2023,20293.0,19848.0,445.0,2.2,61823.0,103.6
1023,AL,"Choctaw County, AL",2023,4221.0,4052.0,169.0,4.0,44458.0,74.5
1025,AL,"Clarke County, AL",2023,7591.0,7212.0,379.0,5.0,44906.0,75.2
1027,AL,"Clay County, AL",2023,5945.0,5805.0,140.0,2.4,49599.0,83.1
1029,AL,"Cleburne County, AL",2023,6205.0,6064.0,141.0,2.3,49248.0,82.5
1031,AL,"Coffee County, AL",2023,21781.0,21235.0,546.0,2.5,62429.0,104.6
1033,AL,"Colbert County, AL",2023,24063.0,23355.0,708.0,2.9,54593.0,91.4
1035,AL,"Conecuh County, AL",2023,4259.0,4108.0,151.0,3.5,36106.0,60.5
1037,AL,"Coosa County, AL",2023,4549.0,4433.0,116.0,2.6,49485.0,82.9
1039,AL,"Covington County, AL",2023,14872.0,14464.0,408.0,2.7,46958.0,78.7
1041,AL,"Crenshaw County, AL",2023,6160.0,5996.0,164.0,2.7,49161.0,82.3
1043,AL,"Cullman County, AL",2023,39773.0,38961.0,812.0,2.0,61774.0,103.5
1045,AL,"Dale County, AL",2023,21198.0,20661.0,537.0,2.5,50567.0,84.7
1047,AL,"Dallas County, AL",2023,13537.0,12803.0,734.0,5.4,35258.0,59.1
1049,AL,"DeKalb County, AL",2023,31004.0,30300.0,704.0,2.3,50037.0,83.8
1051,AL,"Elmore County, AL",2023,38594.0,37772.0,822.0,2.1,71463.0,119.7
1053,AL,"Escambia County, AL",2023,14440.0,13990.0,450.0,3.1,47792.0,80.0
1055,AL,"Etowah County, AL",2023,39430.0,38328.0,1102.0,2.8,55487.0,92.9
1057,AL,"Fayette County, AL",2023,6582.0,6392.0,190.0,2.9,49205.0,82.4
1059,AL,"Franklin County, AL",2023,14247.0,13881.0,366.0,2.6,49611.0,83.1
1061,AL,"Geneva County, AL",2023,11216.0,10942.0,274.0,2.4,51585.0,86.4
1063,AL,"Greene County, AL",2023,2851.0,2715.0,136.0,4.8,35449.0,59.4
