begin_date,disaster,unadjusted_cost_capped,deaths
1980-04-10,Flooding,706.8,30
1980-08-07,Tropical Cyclone,590.0,13
1980-06-01,Drought,6432.0,1260
1981-01-12,Freeze,572.0,0
1981-05-05,Severe Storm,401.4,20
1982-01-08,Winter Storm,662.0,85
1982-04-02,Severe Storm,483.2,33
1982-05-31,Severe Storm,479.9,30
1982-12-01,Flooding,1536.1,45
1982-12-13,Flooding,1499.6,50
1983-08-17,Tropical Cyclone,3000.0,21
1983-06-01,Drought,2964.1,0
1983-09-29,Flooding,400.0,14
1983-12-15,Freeze,2005.8,151
1984-03-27,Severe Storm,603.1,80
1984-06-13,Severe Storm,446.2,1
1985-01-20,Freeze,1200.0,0
1985-01-19,Winter Storm,836.9,150
1985-05-31,Severe Storm,600.0,89
1985-08-30,Tropical Cyclone,1297.4,4
1985-09-26,Tropical Cyclone,856.1,11
1985-10-27,Tropical Cyclone,1496.7,63
1985-11-03,Flooding,1400.0,62
1986-02-14,Severe Storm,529.8,13
1986-06-01,Drought,1803.6,100
1986-09-10,Flooding,400.0,10
1988-06-01,Drought,6432.0,454
1989-05-01,Severe Storm,551.5,21
1989-06-26,Tropical Cyclone,585.0,11
1989-09-21,Tropical Cyclone,6432.0,86
1989-06-01,Drought,3003.2,0
1989-12-23,Freeze,2000.0,10
1989-12-21,Winter Storm,680.0,100
1990-05-11,Flooding,1006.9,13
1990-07-11,Severe Storm,820.1,0
1990-06-01,Wildfire,715.0,17
1990-12-18,Freeze,3400.0,0
1991-03-26,Severe Storm,645.0,0
1991-08-18,Tropical Cyclone,1502.9,18
1991-03-01,Drought,3008.5,0
1991-10-01,Wildfire,3300.0,25
1992-03-24,Severe Storm,804.3,0
1992-04-28,Severe Storm,954.4,0
1992-06-19,Severe Storm,748.0,0
1992-08-23,Tropical Cyclone,6432.0,61
1992-09-11,Tropical Cyclone,3100.0,7
1992-11-21,Severe Storm,657.0,26
1992-12-10,Winter Storm,2483.0,19
1993-03-11,Winter Storm,5527.0,270
1993-07-08,Severe Storm,644.0,1
1993-06-27,Flooding,6432.0,48
1993-06-01,Drought,1258.0,16
1993-09-01,Wildfire,1371.5,4
1994-01-17,Winter Storm,1040.0,70
1994-02-08,Winter Storm,2997.5,9
1994-04-25,Severe Storm,985.1,3
1994-07-07,Tropical Cyclone,998.5,32
1994-10-16,Flooding,1000.0,19
1994-06-01,Wildfire,725.0,0
1995-01-01,Flooding,2500.0,27
1995-04-28,Severe Storm,575.0,0
1995-05-05,Severe Storm,5486.5,32
1995-08-01,Tropical Cyclone,850.0,6
1995-09-15,Tropical Cyclone,2100.0,13
1995-07-01,Drought,984.0,872
1995-10-04,Tropical Cyclone,4689.0,27
1996-01-01,Winter Storm,3003.0,187
1996-02-07,Flooding,1008.3,9
1996-03-01,Drought,1791.5,0
1996-09-05,Tropical Cyclone,5007.0,37
1996-10-19,Flooding,676.0,1
1997-01-01,Flooding,3017.0,36
1997-02-28,Severe Storm,977.5,67
1997-02-03,Flooding,3676.5,11
1998-01-05,Winter Storm,1401.8,16
1997-12-01,Severe Storm,1004.5,132
1998-05-15,Severe Storm,1631.3,1
1998-05-30,Severe Storm,1138.4,20
1998-06-20,Severe Storm,894.0,12
1998-08-08,Tropical Cyclone,700.0,2
1998-08-27,Tropical Cyclone,980.0,3
1998-06-01,Drought,3528.0,200
1998-09-20,Tropical Cyclone,5984.5,16
1998-10-16,Flooding,942.1,31
1998-12-20,Freeze,2500.0,0
1999-01-01,Winter Storm,1032.5,25
1999-01-13,Winter Storm,882.0,0
1999-05-03,Severe Storm,2012.1,55
1999-06-01,Drought,2498.9,502
1999-09-14,Tropical Cyclone,6432.0,77
2000-01-21,Winter Storm,706.0,4
2000-03-28,Severe Storm,690.0,0
2000-03-01,Wildfire,1075.0,0
2000-10-03,Flooding,900.0,3
2000-03-01,Drought,4997.2,140
2001-04-06,Severe Storm,3094.8,3
2001-04-30,Severe Storm,671.0,0
2001-06-05,Tropical Cyclone,6432.0,43
2002-04-27,Severe Storm,2093.8,7
2002-08-01,Tropical Cyclone,1104.5,2
2002-09-25,Tropical Cyclone,1150.0,5
2002-11-09,Severe Storm,720.0,28
2002-09-01,Wildfire,1322.8,21
2002-03-01,Drought,6432.0,0
2003-04-04,Severe Storm,2006.3,3
2003-05-03,Severe Storm,4128.4,51
2003-07-04,Severe Storm,858.1,7
2003-07-21,Severe Storm,1008.2,7
2003-09-18,Tropical Cyclone,5484.0,55
2003-09-01,Wildfire,3890.4,22
2003-03-01,Drought,5017.7,35
2004-05-21,Severe Storm,1013.9,4
2004-06-08,Severe Storm,695.0,0
2004-08-13,Tropical Cyclone,6432.0,35
2004-09-03,Tropical Cyclone,6432.0,48
2004-09-12,Tropical Cyclone,6432.0,57
2004-09-15,Tropical Cyclone,6432.0,28
2005-03-24,Severe Storm,865.0,0
2005-07-09,Tropical Cyclone,2495.0,15
2005-08-25,Tropical Cyclone,6432.0,1833
2005-03-01,Drought,1474.8,0
2005-09-20,Tropical Cyclone,6432.0,119
2005-10-24,Tropical Cyclone,6432.0,35
2006-03-08,Severe Storm,1337.5,10
2006-04-06,Severe Storm,1603.8,10
2006-04-13,Severe Storm,2423.5,27
2006-06-25,Flooding,1521.6,20
2006-08-23,Severe Storm,759.0,1
2006-03-01,Drought,5997.9,0
2006-10-02,Severe Storm,879.0,1
2006-01-01,Wildfire,1467.1,28
2007-01-11,Freeze,1400.0,1
2007-04-04,Freeze,2044.0,0
2007-04-13,Severe Storm,2507.8,9
2007-06-01,Wildfire,2741.3,12
2007-06-01,Drought,3538.3,15
2008-01-04,Severe Storm,982.0,12
2008-02-05,Severe Storm,1211.6,57
2008-03-14,Severe Storm,1131.0,5
2008-04-09,Severe Storm,1039.6,2
2008-05-22,Severe Storm,3029.5,13
2008-06-06,Severe Storm,1635.9,18
2008-04-01,Flooding,6432.0,24
2008-07-23,Tropical Cyclone,1267.3,3
2008-08-31,Tropical Cyclone,5997.0,53
2008-09-12,Tropical Cyclone,6432.0,112
2008-09-01,Wildfire,1234.0,16
2008-01-01,Drought,6432.0,0
2009-02-10,Severe Storm,1740.2,10
2009-03-25,Severe Storm,1640.5,0
2009-04-09,Severe Storm,1430.1,6
2009-05-07,Severe Storm,861.0,7
2009-06-09,Severe Storm,1328.1,0
2009-07-20,Severe Storm,1000.0,0
2009-09-19,Flooding,898.5,10
2009-06-01,Wildfire,1011.9,10
2009-01-01,Drought,3492.0,0
2010-02-09,Winter Storm,817.0,3
2010-03-01,Flooding,1844.2,11
2010-04-30,Flooding,2266.3,32
2010-05-10,Severe Storm,3333.8,3
2010-06-10,Severe Storm,901.0,2
2010-07-20,Severe Storm,948.3,0
2010-10-05,Severe Storm,3800.0,0
2011-02-01,Winter Storm,1794.2,36
2011-04-04,Severe Storm,2775.2,9
2011-04-08,Severe Storm,2179.3,0
2011-04-14,Severe Storm,2059.2,38
2011-04-19,Severe Storm,1037.5,0
2011-04-25,Severe Storm,6432.0,321
2011-05-22,Severe Storm,6432.0,177
2011-04-01,Flooding,2986.0,7
2011-06-18,Severe Storm,1537.3,3
2011-05-01,Flooding,2002.3,5
2011-07-01,Severe Storm,888.0,0
2011-07-10,Severe Storm,1235.0,2
2011-08-17,Severe Storm,1151.4,0
2011-08-26,Tropical Cyclone,6432.0,45
2011-03-01,Drought,6432.0,95
2011-09-01,Tropical Cyclone,2512.5,21
