fips_code,incident_start_date,incidenttype,is_major_disaster,state
41067,2024-08-08 00:00:00+00:00,Fire,0,OR
41031,2024-08-04 00:00:00+00:00,Fire,0,OR
41017,2024-08-02 00:00:00+00:00,Fire,0,OR
06000,2017-02-08 00:00:00+00:00,Severe Storm,1,CA
01001,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01005,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01009,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01011,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01013,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
41001,2024-07-21 00:00:00+00:00,Fire,0,OR
41045,2024-07-21 00:00:00+00:00,Fire,0,OR
41023,2024-07-21 00:00:00+00:00,Fire,0,OR
41049,2024-07-21 00:00:00+00:00,Fire,0,OR
41059,2024-07-21 00:00:00+00:00,Fire,0,OR
41023,2024-07-20 00:00:00+00:00,Fire,0,OR
41023,2024-07-18 00:00:00+00:00,Fire,0,OR
41025,2024-07-18 00:00:00+00:00,Fire,0,OR
41021,2024-07-17 00:00:00+00:00,Fire,0,OR
41049,2024-07-17 00:00:00+00:00,Fire,0,OR
41069,2024-07-17 00:00:00+00:00,Fire,0,OR
30007,2024-07-09 00:00:00+00:00,Fire,0,MT
30049,2024-07-09 00:00:00+00:00,Fire,0,MT
41065,2024-07-10 00:00:00+00:00,Fire,0,OR
01017,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01019,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
01027,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
41017,2024-06-25 00:00:00+00:00,Fire,0,OR
01029,2015-12-23 00:00:00+00:00,Severe Storm,1,AL
35027,2024-05-16 00:00:00+00:00,Fire,0,NM
40153,2024-04-06 00:00:00+00:00,Fire,0,OK
40045,2024-02-27 00:00:00+00:00,Fire,0,OK
48211,2024-02-27 00:00:00+00:00,Fire,0,TX
48233,2024-02-27 00:00:00+00:00,Fire,0,TX
48393,2024-02-27 00:00:00+00:00,Fire,0,TX
48341,2024-02-27 00:00:00+00:00,Fire,0,TX
22079,2023-08-30 00:00:00+00:00,Fire,0,LA
22115,2023-08-30 00:00:00+00:00,Fire,0,LA
22115,2023-08-26 00:00:00+00:00,Fire,0,LA
22115,2023-08-25 00:00:00+00:00,Fire,0,LA
22011,2023-08-23 00:00:00+00:00,Fire,0,LA
53063,2023-08-19 00:00:00+00:00,Fire,0,WA
30089,2023-08-18 00:00:00+00:00,Fire,0,MT
53063,2023-08-18 00:00:00+00:00,Fire,0,WA
15001,2023-08-08 00:00:00+00:00,Fire,0,HI
15009,2023-08-09 00:00:00+00:00,Fire,0,HI
15009,2023-08-09 00:00:00+00:00,Fire,0,HI
15009,2023-08-09 00:00:00+00:00,Fire,0,HI
15001,2023-08-08 00:00:00+00:00,Fire,0,HI
53047,2023-07-29 00:00:00+00:00,Fire,0,WA
53039,2023-07-21 00:00:00+00:00,Fire,0,WA
53025,2023-07-10 00:00:00+00:00,Fire,0,WA
53045,2023-07-04 00:00:00+00:00,Fire,0,WA
53059,2023-07-02 00:00:00+00:00,Fire,0,WA
04013,2023-06-27 00:00:00+00:00,Fire,0,AZ
35033,2023-05-10 00:00:00+00:00,Fire,0,NM
35047,2023-05-10 00:00:00+00:00,Fire,0,NM
44009,2023-04-14 00:00:00+00:00,Fire,0,RI
20201,2023-04-13 00:00:00+00:00,Fire,0,KS
31025,2023-04-08 00:00:00+00:00,Fire,0,NE
35057,2023-04-02 00:00:00+00:00,Fire,0,NM
40147,2023-03-31 00:00:00+00:00,Fire,0,OK
40109,2023-03-31 00:00:00+00:00,Fire,0,OK
40083,2023-03-31 00:00:00+00:00,Fire,0,OK
41039,2022-09-09 00:00:00+00:00,Fire,0,OR
53011,2022-10-16 00:00:00+00:00,Fire,0,WA
53059,2022-10-16 00:00:00+00:00,Fire,0,WA
53033,2022-09-10 00:00:00+00:00,Fire,0,WA
53061,2022-09-10 00:00:00+00:00,Fire,0,WA
41005,2022-09-10 00:00:00+00:00,Fire,0,OR
06017,2022-09-09 00:00:00+00:00,Fire,0,CA
06061,2022-09-09 00:00:00+00:00,Fire,0,CA
16013,2022-09-05 00:00:00+00:00,Fire,0,ID
06065,2022-09-05 00:00:00+00:00,Fire,0,CA
06093,2022-09-02 00:00:00+00:00,Fire,0,CA
16003,2022-08-18 00:00:00+00:00,Fire,0,ID
16045,2022-08-18 00:00:00+00:00,Fire,0,ID
16085,2022-08-18 00:00:00+00:00,Fire,0,ID
32031,2022-08-14 00:00:00+00:00,Fire,0,NV
53001,2022-08-04 00:00:00+00:00,Fire,0,WA
41065,2022-08-02 00:00:00+00:00,Fire,0,OR
06043,2022-07-22 00:00:00+00:00,Fire,0,CA
48221,2022-07-18 00:00:00+00:00,Fire,0,TX
48425,2022-07-18 00:00:00+00:00,Fire,0,TX
48035,2022-07-07 00:00:00+00:00,Fire,0,TX
02068,2022-06-21 00:00:00+00:00,Fire,0,AK
